Experiment Number, Current Level(A) , Vacuum Preasure (Torr) , Microwave Power (W), Gas, Density_1 (m^-3), Temperature_1 (eV), Plasma Potential_1 (V), Floating Potential_1 (V), Debye Length_1 (m), Larmor Radius_1 (m), Mean Free Path_1 (m),Start Time, End Time, di Max_ Time, Density_2 (m^-3), Temperature_2 (eV), Plasma Potential_2 (V), Floating Potential_2 (V), Debye Length_2 (m), Larmor Radius_2 (m), Mean Free Path_2 (m),Start Time, End Time, di Max_ Time, intial Time , Average Time, B Initial (Gauss) , B Average (Gauss),I-V File Name1, I-V File Name2, Time 
 A1 Mirror,400,0.00008,200, Argon,1.18E+15,6.529376,13.2,-2.8,0.000553,-1,6816.561902, 20130101T160619, 20130101T160624, 20130101T160621,4.75E+14,27.673172,44.4,-1.2,0.001793,-1,304219.2636, 20130101T160619, 20130101T160627, 20130101T160624,0,0,0,0, A1 MirrorSLP120130611T160632.csv, A1 MirrorSLP220130611T160632.csv, 20130611T160632 
 A1 Mirror,400,0.00008,200, Argon,1.59E+15,7.378257,16,-2.4,0.000506,-1,6467.194125, 20130101T160702, 20130101T160707, 20130101T160704,2.87E+14,9.028514,14,-0.8,0.001319,-1,53660.4879, 20130101T160702, 20130101T160710, 20130101T160706,0,0,0,0, A1 MirrorSLP120130611T160715.csv, A1 MirrorSLP220130611T160715.csv, 20130611T160715 
 A1 Mirror,400,0.00008,200, Argon,1.82E+15,7.400815,16.4,-2,0.000474,-1,5674.693638, 20130101T160751, 20130101T160757, 20130101T160754,5.31E+14,65.891592,73.6,-0.8,0.002619,-1,1545336.387, 20130101T160752, 20130101T160800, 20130101T160758,0,0,0,0, A1 MirrorSLP120130611T160805.csv, A1 MirrorSLP220130611T160805.csv, 20130611T160805 
 A1 Mirror,400,0.000095,400, Argon,1.91E+15,7.306011,16.4,-2.4,0.000459,-1,5270.088533, 20130101T160931, 20130101T160936, 20130101T160933,5.79E+14,60.953292,74,-0.8,0.002413,-1,1212693.503, 20130101T160931, 20130101T160939, 20130101T160937,0,0,0,0, A1 MirrorSLP120130611T160944.csv, A1 MirrorSLP220130611T160944.csv, 20130611T160944 
 A1 Mirror,400,0.000095,400, Argon,1.65E+15,7.511791,16,-3.2,0.000501,-1,6451.489777, 20130101T160959, 20130101T161005, 20130101T161002,5.83E+14,62.422213,74,-0.8,0.002433,-1,1263214.094, 20130101T160959, 20130101T161007, 20130101T161005,0,0,0,0, A1 MirrorSLP120130611T161012.csv, A1 MirrorSLP220130611T161012.csv, 20130611T161012 
 A1 Mirror,400,0.000095,400, Argon,2.00E+15,7.296533,16.4,-2,0.00045,-1,5039.38903, 20130101T161020, 20130101T161026, 20130101T161023,6.22E+14,57.748082,72.8,-0.8,0.002264,-1,1011939.588, 20130101T161021, 20130101T161028, 20130101T161027,0,0,0,0, A1 MirrorSLP120130611T161034.csv, A1 MirrorSLP220130611T161034.csv, 20130611T161034 
 A1 Mirror,400,0.000098,600, Argon,1.85E+15,7.144426,15.6,-2,0.000462,-1,5208.815608, 20130101T161233, 20130101T161238, 20130101T161235,5.55E+14,64.230985,74,-0.8,0.002529,-1,1404293.423, 20130101T161233, 20130101T161241, 20130101T161239,0,0,0,0, A1 MirrorSLP120130611T161246.csv, A1 MirrorSLP220130611T161246.csv, 20130611T161246 
 A1 Mirror,400,0.000098,600, Argon,1.95E+15,7.683063,16.4,-2.4,0.000467,-1,5723.69381, 20130101T161257, 20130101T161302, 20130101T161259,5.46E+14,71.149411,73.2,-0.8,0.002684,-1,1751573.017, 20130101T161257, 20130101T161305, 20130101T161303,0,0,0,0, A1 MirrorSLP120130611T161310.csv, A1 MirrorSLP220130611T161310.csv, 20130611T161310 
 A1 Mirror,400,0.000098,600, Argon,1.83E+15,7.122071,15.2,-2.4,0.000464,-1,5233.609068, 20130101T161317, 20130101T161323, 20130101T161320,5.94E+14,61.775684,73.6,-1.2,0.002397,-1,1213442.463, 20130101T161317, 20130101T161325, 20130101T161323,0,0,0,0, A1 MirrorSLP120130611T161330.csv, A1 MirrorSLP220130611T161330.csv, 20130611T161330 
 A1 Mirror,400,0.000095,800, Argon,1.85E+15,7.274405,15.6,-2,0.000466,-1,5391.569792, 20130101T161514, 20130101T161520, 20130101T161517,5.48E+14,66.385236,74,-1.2,0.002588,-1,1520208.303, 20130101T161514, 20130101T161522, 20130101T161520,0,0,0,0, A1 MirrorSLP120130611T161527.csv, A1 MirrorSLP220130611T161527.csv, 20130611T161527 
